DATE,NCOALLCIACB
1985-01-01,1292
1985-04-01,1669
1985-07-01,1982
1985-10-01,2919
1986-01-01,1489
1986-04-01,2079
1986-07-01,2181
1986-10-01,3049
1987-01-01,1330
1987-04-01,1745
1987-07-01,1540
1987-10-01,2369
1988-01-01,1253
1988-04-01,2017
1988-07-01,1472
1988-10-01,1978
1989-01-01,1004
1989-04-01,1334
1989-07-01,1338
1989-10-01,2999
1990-01-01,1624
1990-04-01,2174
1990-07-01,1905
1990-10-01,2770
1991-01-01,1681
1991-04-01,2673
1991-07-01,2747
1991-10-01,3531
1992-01-01,1989
1992-04-01,1735
1992-07-01,1837
1992-10-01,1912
1993-01-01,919
1993-04-01,1085
1993-07-01,844
1993-10-01,1035
1994-01-01,306
1994-04-01,420
1994-07-01,261
1994-10-01,480
1995-01-01,201
1995-04-01,191
1995-07-01,498
1995-10-01,625
1996-01-01,406
1996-04-01,474
1996-07-01,373
1996-10-01,497
1997-01-01,305
1997-04-01,421
1997-07-01,626
1997-10-01,729
1998-01-01,572
1998-04-01,712
1998-07-01,842
1998-10-01,1372
1999-01-01,998
1999-04-01,1252
1999-07-01,1251
1999-10-01,1903
2000-01-01,1279
2000-04-01,1737
2000-07-01,1782
2000-10-01,3371
2001-01-01,2352
2001-04-01,3096
2001-07-01,3320
2001-10-01,6011
2002-01-01,3567
2002-04-01,4224
2002-07-01,4736
2002-10-01,4048
2003-01-01,3153
2003-04-01,2979
2003-07-01,2631
2003-10-01,2446
2004-01-01,1473
2004-04-01,1190
2004-07-01,897
2004-10-01,1175
2005-01-01,519
2005-04-01,539
2005-07-01,477
2005-10-01,1060
2006-01-01,474
2006-04-01,692
2006-07-01,739
2006-10-01,1275
2007-01-01,915
2007-04-01,1204
2007-07-01,1370
2007-10-01,2851
2008-01-01,2149
2008-04-01,2821
2008-07-01,3459
2008-10-01,5611
2009-01-01,5956
2009-04-01,7743
2009-07-01,7981
2009-10-01,7861
2010-01-01,5444
2010-04-01,4902
2010-07-01,4752
2010-10-01,4112
2011-01-01,2980
2011-04-01,2399
2011-07-01,2266
2011-10-01,2380
2012-01-01,1668
2012-04-01,1775
2012-07-01,1689
2012-10-01,1376
2013-01-01,1153
2013-04-01,1083
2013-07-01,971
2013-10-01,1070
2014-01-01,770
2014-04-01,794
2014-07-01,799
2014-10-01,1068
2015-01-01,629
2015-04-01,901
2015-07-01,1056
2015-10-01,1638
2016-01-01,1728
2016-04-01,2048
2016-07-01,1975
2016-10-01,2298
2017-01-01,1409
2017-04-01,1804
2017-07-01,1529
2017-10-01,2058
2018-01-01,1296
2018-04-01,1408
2018-07-01,1217
2018-10-01,1673
2019-01-01,1428
2019-04-01,1747
2019-07-01,2227
2019-10-01,2280
2020-01-01,2777
2020-04-01,4139
2020-07-01,3161
2020-10-01,2888
2021-01-01,1554
2021-04-01,1271
2021-07-01,860
2021-10-01,728
2022-01-01,645
2022-04-01,830
2022-07-01,961
2022-10-01,1563
2023-01-01,1573
2023-04-01,1915
2023-07-01,2389
2023-10-01,2767
2024-01-01,2427
2024-04-01,2927
