DATE,DRCRELEXFOBS
1991-01-01,7.80
1991-04-01,7.80
1991-07-01,7.52
1991-10-01,7.60
1992-01-01,6.99
1992-04-01,6.46
1992-07-01,6.35
1992-10-01,5.69
1993-01-01,5.24
1993-04-01,5.17
1993-07-01,4.90
1993-10-01,4.42
1994-01-01,4.13
1994-04-01,3.63
1994-07-01,3.30
1994-10-01,3.04
1995-01-01,3.00
1995-04-01,2.83
1995-07-01,2.73
1995-10-01,2.72
1996-01-01,2.59
1996-04-01,2.48
1996-07-01,2.30
1996-10-01,2.27
1997-01-01,2.14
1997-04-01,2.12
1997-07-01,2.02
1997-10-01,1.95
1998-01-01,1.90
1998-04-01,1.86
1998-07-01,1.83
1998-10-01,1.75
1999-01-01,1.64
1999-04-01,1.51
1999-07-01,1.40
1999-10-01,1.33
2000-01-01,1.38
2000-04-01,1.38
2000-07-01,1.45
2000-10-01,1.53
2001-01-01,1.63
2001-04-01,1.76
2001-07-01,1.86
2001-10-01,1.89
2002-01-01,1.74
2002-04-01,1.72
2002-07-01,1.71
2002-10-01,1.69
2003-01-01,1.73
2003-04-01,1.67
2003-07-01,1.55
2003-10-01,1.46
2004-01-01,1.34
2004-04-01,1.29
2004-07-01,1.20
2004-10-01,1.13
2005-01-01,1.15
2005-04-01,1.08
2005-07-01,1.09
2005-10-01,1.08
2006-01-01,1.09
2006-04-01,1.12
2006-07-01,1.28
2006-10-01,1.39
2007-01-01,1.51
2007-04-01,1.76
2007-07-01,2.14
2007-10-01,2.86
2008-01-01,3.55
2008-04-01,4.21
2008-07-01,4.67
2008-10-01,5.61
2009-01-01,6.50
2009-04-01,7.55
2009-07-01,7.65
2009-10-01,7.55
2010-01-01,7.50
2010-04-01,7.25
2010-07-01,7.33
2010-10-01,7.07
2011-01-01,6.77
2011-04-01,6.70
2011-07-01,6.34
2011-10-01,5.99
2012-01-01,5.49
2012-04-01,5.05
2012-07-01,4.79
2012-10-01,4.31
2013-01-01,3.90
2013-04-01,3.52
2013-07-01,3.12
2013-10-01,2.82
2014-01-01,2.57
2014-04-01,2.32
2014-07-01,2.09
2014-10-01,1.88
2015-01-01,1.73
2015-04-01,1.58
2015-07-01,1.43
2015-10-01,1.33
2016-01-01,1.23
2016-04-01,1.16
2016-07-01,1.13
2016-10-01,1.06
2017-01-01,1.00
2017-04-01,0.96
2017-07-01,0.94
2017-10-01,0.89
2018-01-01,0.91
2018-04-01,0.87
2018-07-01,0.86
2018-10-01,0.85
2019-01-01,0.84
2019-04-01,0.84
2019-07-01,0.84
2019-10-01,0.83
2020-01-01,1.04
2020-04-01,0.99
2020-07-01,0.95
2020-10-01,0.95
2021-01-01,0.88
2021-04-01,0.80
2021-07-01,0.70
2021-10-01,0.61
2022-01-01,0.56
2022-04-01,0.52
2022-07-01,0.47
2022-10-01,0.47
2023-01-01,0.50
2023-04-01,0.56
2023-07-01,0.66
2023-10-01,0.74
2024-01-01,0.80
2024-04-01,0.91
