DATE,DRCLOBS
1987-01-01,3.04
1987-04-01,2.98
1987-07-01,2.93
1987-10-01,2.94
1988-01-01,2.93
1988-04-01,2.89
1988-07-01,2.82
1988-10-01,2.75
1989-01-01,2.93
1989-04-01,2.95
1989-07-01,3.07
1989-10-01,3.10
1990-01-01,3.06
1990-04-01,3.10
1990-07-01,3.22
1990-10-01,3.49
1991-01-01,3.61
1991-04-01,3.65
1991-07-01,3.54
1991-10-01,3.49
1992-01-01,3.18
1992-04-01,2.98
1992-07-01,2.90
1992-10-01,2.79
1993-01-01,2.74
1993-04-01,2.71
1993-07-01,2.55
1993-10-01,2.37
1994-01-01,2.35
1994-04-01,2.38
1994-07-01,2.30
1994-10-01,2.31
1995-01-01,2.52
1995-04-01,2.56
1995-07-01,2.78
1995-10-01,2.80
1996-01-01,2.90
1996-04-01,3.15
1996-07-01,3.32
1996-10-01,3.49
1997-01-01,3.52
1997-04-01,3.44
1997-07-01,3.41
1997-10-01,3.33
1998-01-01,3.37
1998-04-01,3.35
1998-07-01,3.31
1998-10-01,3.31
1999-01-01,3.09
1999-04-01,2.94
1999-07-01,2.88
1999-10-01,2.92
2000-01-01,2.88
2000-04-01,2.93
2000-07-01,3.00
2000-10-01,3.16
2001-01-01,3.24
2001-04-01,3.40
2001-07-01,3.48
2001-10-01,3.32
2002-01-01,3.26
2002-04-01,3.11
2002-07-01,3.08
2002-10-01,3.06
2003-01-01,3.17
2003-04-01,3.13
2003-07-01,2.71
2003-10-01,2.89
2004-01-01,2.79
2004-04-01,2.85
2004-07-01,2.73
2004-10-01,2.64
2005-01-01,2.30
2005-04-01,2.28
2005-07-01,2.28
2005-10-01,2.16
2006-01-01,2.19
2006-04-01,2.15
2006-07-01,2.23
2006-10-01,2.27
2007-01-01,2.44
2007-04-01,2.49
2007-07-01,2.74
2007-10-01,2.90
2008-01-01,2.97
2008-04-01,3.00
2008-07-01,2.96
2008-10-01,3.17
2009-01-01,2.88
2009-04-01,3.21
2009-07-01,2.94
2009-10-01,2.80
2010-01-01,2.84
2010-04-01,2.92
2010-07-01,2.93
2010-10-01,2.88
2011-01-01,2.89
2011-04-01,2.72
2011-07-01,2.68
2011-10-01,2.83
2012-01-01,2.30
2012-04-01,2.37
2012-07-01,2.42
2012-10-01,2.47
2013-01-01,2.36
2013-04-01,2.37
2013-07-01,2.36
2013-10-01,2.43
2014-01-01,2.42
2014-04-01,2.38
2014-07-01,2.34
2014-10-01,2.19
2015-01-01,2.18
2015-04-01,2.20
2015-07-01,2.25
2015-10-01,1.88
2016-01-01,2.02
2016-04-01,2.06
2016-07-01,2.04
2016-10-01,2.17
2017-01-01,2.17
2017-04-01,2.07
2017-07-01,2.08
2017-10-01,2.07
2018-01-01,2.11
2018-04-01,2.08
2018-07-01,2.08
2018-10-01,2.05
2019-01-01,2.04
2019-04-01,2.53
2019-07-01,2.03
2019-10-01,2.68
2020-01-01,2.79
2020-04-01,2.01
2020-07-01,2.00
2020-10-01,2.05
2021-01-01,1.82
2021-04-01,1.69
2021-07-01,1.63
2021-10-01,1.75
2022-01-01,2.02
2022-04-01,2.2
2022-07-01,2.33
2022-10-01,2.40
2023-01-01,2.48
2023-04-01,2.6
2023-07-01,2.84
2023-10-01,2.96
2024-01-01,2.97
2024-04-01,2.95
