DATE,DRFLACBS
1991-01-01,4.24
1991-04-01,4.27
1991-07-01,4.39
1991-10-01,4.38
1992-01-01,4.25
1992-04-01,4.12
1992-07-01,3.87
1992-10-01,3.80
1993-01-01,3.63
1993-04-01,3.58
1993-07-01,3.40
1993-10-01,3.16
1994-01-01,2.90
1994-04-01,2.62
1994-07-01,2.58
1994-10-01,2.54
1995-01-01,2.56
1995-04-01,2.59
1995-07-01,2.70
1995-10-01,2.68
1996-01-01,2.82
1996-04-01,2.91
1996-07-01,2.81
1996-10-01,2.82
1997-01-01,2.58
1997-04-01,2.59
1997-07-01,2.49
1997-10-01,2.46
1998-01-01,2.55
1998-04-01,2.45
1998-07-01,2.54
1998-10-01,2.77
1999-01-01,2.62
1999-04-01,2.50
1999-07-01,2.51
1999-10-01,2.17
2000-01-01,2.26
2000-04-01,2.34
2000-07-01,2.26
2000-10-01,2.34
2001-01-01,2.63
2001-04-01,2.74
2001-07-01,2.80
2001-10-01,2.83
2002-01-01,2.71
2002-04-01,2.62
2002-07-01,2.66
2002-10-01,2.70
2003-01-01,2.65
2003-04-01,2.61
2003-07-01,2.47
2003-10-01,2.26
2004-01-01,2.06
2004-04-01,1.89
2004-07-01,1.83
2004-10-01,1.72
2005-01-01,1.70
2005-04-01,1.62
2005-07-01,1.56
2005-10-01,1.45
2006-01-01,1.53
2006-04-01,1.46
2006-07-01,1.44
2006-10-01,1.39
2007-01-01,1.48
2007-04-01,1.56
2007-07-01,1.46
2007-10-01,1.49
2008-01-01,1.46
2008-04-01,1.63
2008-07-01,1.71
2008-10-01,2.25
2009-01-01,2.48
2009-04-01,2.69
2009-07-01,3.03
2009-10-01,3.37
2010-01-01,3.43
2010-04-01,3.54
2010-07-01,3.76
2010-10-01,3.54
2011-01-01,3.63
2011-04-01,3.67
2011-07-01,3.47
2011-10-01,3.23
2012-01-01,2.96
2012-04-01,3.00
2012-07-01,2.89
2012-10-01,2.65
2013-01-01,2.38
2013-04-01,2.26
2013-07-01,2.19
2013-10-01,2.13
2014-01-01,1.91
2014-04-01,1.71
2014-07-01,1.61
2014-10-01,1.55
2015-01-01,1.59
2015-04-01,1.59
2015-07-01,1.46
2015-10-01,1.54
2016-01-01,1.63
2016-04-01,1.70
2016-07-01,1.79
2016-10-01,1.92
2017-01-01,2.02
2017-04-01,1.95
2017-07-01,2.06
2017-10-01,2.02
2018-01-01,2.03
2018-04-01,2.14
2018-07-01,2.19
2018-10-01,2.27
2019-01-01,2.24
2019-04-01,2.31
2019-07-01,2.21
2019-10-01,2.36
2020-01-01,2.57
2020-04-01,2.59
2020-07-01,2.45
2020-10-01,2.18
2021-01-01,2.02
2021-04-01,1.80
2021-07-01,1.7
2021-10-01,1.53
2022-01-01,1.29
2022-04-01,1.20
2022-07-01,1.07
2022-10-01,1.00
2023-01-01,0.92
2023-04-01,0.92
2023-07-01,0.98
2023-10-01,0.96
2024-01-01,1.03
2024-04-01,1.07
