DATE,DRFLT100S
1991-01-01,9.12
1991-04-01,8.44
1991-07-01,8.09
1991-10-01,7.90
1992-01-01,8.14
1992-04-01,7.98
1992-07-01,7.57
1992-10-01,7.22
1993-01-01,8.34
1993-04-01,7.82
1993-07-01,7.05
1993-10-01,6.61
1994-01-01,4.98
1994-04-01,3.85
1994-07-01,4.08
1994-10-01,4.03
1995-01-01,4.13
1995-04-01,4.70
1995-07-01,5.14
1995-10-01,4.64
1996-01-01,4.81
1996-04-01,4.73
1996-07-01,4.27
1996-10-01,4.25
1997-01-01,3.82
1997-04-01,4.12
1997-07-01,3.59
1997-10-01,3.62
1998-01-01,3.48
1998-04-01,3.26
1998-07-01,3.39
1998-10-01,3.89
1999-01-01,3.17
1999-04-01,3.41
1999-07-01,3.43
1999-10-01,2.86
2000-01-01,3.33
2000-04-01,3.00
2000-07-01,2.72
2000-10-01,2.99
2001-01-01,3.39
2001-04-01,3.70
2001-07-01,4.16
2001-10-01,3.78
2002-01-01,3.61
2002-04-01,3.40
2002-07-01,3.29
2002-10-01,3.57
2003-01-01,3.49
2003-04-01,3.49
2003-07-01,3.16
2003-10-01,3.00
2004-01-01,2.93
2004-04-01,2.40
2004-07-01,2.39
2004-10-01,2.20
2005-01-01,2.26
2005-04-01,1.91
2005-07-01,1.89
2005-10-01,1.74
2006-01-01,1.63
2006-04-01,1.48
2006-07-01,1.43
2006-10-01,1.29
2007-01-01,1.30
2007-04-01,1.48
2007-07-01,1.31
2007-10-01,1.30
2008-01-01,1.30
2008-04-01,1.60
2008-07-01,1.93
2008-10-01,2.90
2009-01-01,2.99
2009-04-01,3.57
2009-07-01,4.12
2009-10-01,4.81
2010-01-01,5.29
2010-04-01,5.54
2010-07-01,5.92
2010-10-01,5.56
2011-01-01,6.66
2011-04-01,5.93
2011-07-01,5.58
2011-10-01,5.13
2012-01-01,5.00
2012-04-01,5.15
2012-07-01,4.59
2012-10-01,4.39
2013-01-01,4.05
2013-04-01,3.65
2013-07-01,3.55
2013-10-01,3.18
2014-01-01,2.93
2014-04-01,2.35
2014-07-01,2.17
2014-10-01,2.03
2015-01-01,2.00
2015-04-01,2.32
2015-07-01,1.96
2015-10-01,2.02
2016-01-01,1.97
2016-04-01,2.15
2016-07-01,2.59
2016-10-01,2.84
2017-01-01,3.28
2017-04-01,3.03
2017-07-01,3.08
2017-10-01,3.15
2018-01-01,2.97
2018-04-01,3.09
2018-07-01,3.00
2018-10-01,2.95
2019-01-01,3.02
2019-04-01,3.04
2019-07-01,2.99
2019-10-01,3.07
2020-01-01,2.90
2020-04-01,3.07
2020-07-01,3.03
2020-10-01,3.00
2021-01-01,3.23
2021-04-01,2.69
2021-07-01,2.71
2021-10-01,2.38
2022-01-01,2.13
2022-04-01,1.95
2022-07-01,1.53
2022-10-01,1.26
2023-01-01,0.94
2023-04-01,0.78
2023-07-01,0.74
2023-10-01,0.72
2024-01-01,0.78
2024-04-01,1.35
