DATE,DRFAPGT100S
1987-01-01,14.93
1987-04-01,13.97
1987-07-01,12.91
1987-10-01,14.67
1988-01-01,13.27
1988-04-01,11.49
1988-07-01,11.85
1988-10-01,10.41
1989-01-01,9.56
1989-04-01,9.84
1989-07-01,8.73
1989-10-01,8.41
1990-01-01,8.33
1990-04-01,7.60
1990-07-01,7.10
1990-10-01,6.42
1991-01-01,6.72
1991-04-01,6.92
1991-07-01,5.38
1991-10-01,6.71
1992-01-01,5.89
1992-04-01,6.00
1992-07-01,7.13
1992-10-01,5.74
1993-01-01,5.96
1993-04-01,4.64
1993-07-01,4.10
1993-10-01,4.04
1994-01-01,3.47
1994-04-01,3.15
1994-07-01,2.85
1994-10-01,2.91
1995-01-01,3.10
1995-04-01,3.09
1995-07-01,2.78
1995-10-01,2.36
1996-01-01,2.34
1996-04-01,3.05
1996-07-01,3.02
1996-10-01,3.62
1997-01-01,2.50
1997-04-01,2.53
1997-07-01,2.87
1997-10-01,2.95
1998-01-01,2.91
1998-04-01,2.41
1998-07-01,2.35
1998-10-01,2.40
1999-01-01,3.02
1999-04-01,3.71
1999-07-01,2.86
1999-10-01,3.21
2000-01-01,3.19
2000-04-01,3.06
2000-07-01,2.93
2000-10-01,3.71
2001-01-01,4.25
2001-04-01,4.37
2001-07-01,4.87
2001-10-01,4.51
2002-01-01,4.01
2002-04-01,3.78
2002-07-01,4.01
2002-10-01,3.78
2003-01-01,3.64
2003-04-01,3.70
2003-07-01,4.05
2003-10-01,3.07
2004-01-01,2.62
2004-04-01,2.26
2004-07-01,1.90
2004-10-01,1.80
2005-01-01,1.83
2005-04-01,1.68
2005-07-01,1.57
2005-10-01,1.33
2006-01-01,1.17
2006-04-01,1.01
2006-07-01,1.13
2006-10-01,1.47
2007-01-01,1.36
2007-04-01,1.82
2007-07-01,1.30
2007-10-01,1.26
2008-01-01,1.20
2008-04-01,1.37
2008-07-01,1.70
2008-10-01,1.89
2009-01-01,2.69
2009-04-01,4.12
2009-07-01,5.27
2009-10-01,7.45
2010-01-01,7.64
2010-04-01,7.82
2010-07-01,7.70
2010-10-01,6.62
2011-01-01,6.16
2011-04-01,5.17
2011-07-01,4.54
2011-10-01,4.29
2012-01-01,3.88
2012-04-01,3.35
2012-07-01,3.97
2012-10-01,3.11
2013-01-01,2.49
2013-04-01,2.28
2013-07-01,2.29
2013-10-01,2.03
2014-01-01,1.93
2014-04-01,1.85
2014-07-01,1.40
2014-10-01,1.15
2015-01-01,1.27
2015-04-01,1.33
2015-07-01,0.97
2015-10-01,1.43
2016-01-01,1.54
2016-04-01,1.60
2016-07-01,2.06
2016-10-01,2.44
2017-01-01,2.6
2017-04-01,2.52
2017-07-01,2.69
2017-10-01,2.52
2018-01-01,2.72
2018-04-01,2.94
2018-07-01,2.86
2018-10-01,2.58
2019-01-01,2.52
2019-04-01,2.48
2019-07-01,3.02
2019-10-01,2.28
2020-01-01,2.17
2020-04-01,2.86
2020-07-01,2.42
2020-10-01,2.52
2021-01-01,2.27
2021-04-01,2.09
2021-07-01,1.73
2021-10-01,1.79
2022-01-01,1.76
2022-04-01,1.39
2022-07-01,1.72
2022-10-01,1.77
2023-01-01,1.23
2023-04-01,1.15
2023-07-01,1.06
2023-10-01,1.23
2024-01-01,1.83
2024-04-01,1.73
