DATE,DROCLACBS
1991-01-01,3.59
1991-04-01,3.52
1991-07-01,3.49
1991-10-01,3.54
1992-01-01,3.30
1992-04-01,3.16
1992-07-01,3.01
1992-10-01,2.96
1993-01-01,2.93
1993-04-01,2.81
1993-07-01,2.70
1993-10-01,2.50
1994-01-01,2.44
1994-04-01,2.48
1994-07-01,2.44
1994-10-01,2.39
1995-01-01,2.52
1995-04-01,2.56
1995-07-01,2.77
1995-10-01,2.89
1996-01-01,2.92
1996-04-01,2.97
1996-07-01,3.03
1996-10-01,3.09
1997-01-01,3.10
1997-04-01,3.10
1997-07-01,3.07
1997-10-01,3.07
1998-01-01,3.10
1998-04-01,3.14
1998-07-01,3.15
1998-10-01,3.14
1999-01-01,3.24
1999-04-01,3.15
1999-07-01,3.03
1999-10-01,3.00
2000-01-01,2.94
2000-04-01,2.94
2000-07-01,3.00
2000-10-01,3.04
2001-01-01,2.99
2001-04-01,2.97
2001-07-01,3.07
2001-10-01,3.05
2002-01-01,2.89
2002-04-01,2.83
2002-07-01,2.76
2002-10-01,2.70
2003-01-01,2.77
2003-04-01,2.70
2003-07-01,2.61
2003-10-01,2.59
2004-01-01,2.55
2004-04-01,2.53
2004-07-01,2.45
2004-10-01,2.37
2005-01-01,2.32
2005-04-01,2.34
2005-07-01,2.18
2005-10-01,2.09
2006-01-01,2.10
2006-04-01,2.19
2006-07-01,2.28
2006-10-01,2.23
2007-01-01,2.32
2007-04-01,2.39
2007-07-01,2.45
2007-10-01,2.63
2008-01-01,2.78
2008-04-01,2.81
2008-07-01,3.05
2008-10-01,3.38
2009-01-01,3.51
2009-04-01,3.67
2009-07-01,3.59
2009-10-01,3.50
2010-01-01,3.49
2010-04-01,3.35
2010-07-01,3.37
2010-10-01,3.12
2011-01-01,2.94
2011-04-01,2.88
2011-07-01,2.83
2011-10-01,2.90
2012-01-01,2.80
2012-04-01,2.77
2012-07-01,2.72
2012-10-01,2.52
2013-01-01,2.49
2013-04-01,2.43
2013-07-01,2.32
2013-10-01,2.38
2014-01-01,2.32
2014-04-01,2.28
2014-07-01,2.20
2014-10-01,2.01
2015-01-01,1.94
2015-04-01,1.86
2015-07-01,1.84
2015-10-01,1.87
2016-01-01,1.88
2016-04-01,1.90
2016-07-01,1.92
2016-10-01,1.99
2017-01-01,1.94
2017-04-01,1.97
2017-07-01,2.03
2017-10-01,2.00
2018-01-01,2.05
2018-04-01,2.01
2018-07-01,2.06
2018-10-01,2.12
2019-01-01,2.12
2019-04-01,2.11
2019-07-01,2.06
2019-10-01,2.10
2020-01-01,2.25
2020-04-01,1.64
2020-07-01,1.66
2020-10-01,1.77
2021-01-01,1.57
2021-04-01,1.50
2021-07-01,1.50
2021-10-01,1.53
2022-01-01,1.60
2022-04-01,1.79
2022-07-01,1.84
2022-10-01,1.90
2023-01-01,2.01
2023-04-01,2.02
2023-07-01,2.08
2023-10-01,2.12
2024-01-01,2.17
2024-04-01,2.2
