DATE,FYONGDA188S
1929-01-01,2.99074
1930-01-01,3.60243
1931-01-01,4.62198
1932-01-01,7.82736
1933-01-01,8.04493
1934-01-01,9.79192
1935-01-01,8.63674
1936-01-01,9.69940
1937-01-01,8.15027
1938-01-01,7.83039
1939-01-01,9.78306
1940-01-01,9.20126
1941-01-01,10.55843
1942-01-01,21.17299
1943-01-01,38.68104
1944-01-01,40.67954
1945-01-01,40.66191
1946-01-01,24.27407
1947-01-01,13.81963
1948-01-01,10.84425
1949-01-01,14.25268
1950-01-01,14.19552
1951-01-01,13.11968
1952-01-01,18.42593
1953-01-01,19.55228
1954-01-01,18.14241
1955-01-01,16.08638
1956-01-01,15.72038
1957-01-01,16.15437
1958-01-01,17.12386
1959-01-01,17.65500
1960-01-01,16.99743
1961-01-01,17.38197
1962-01-01,17.68788
1963-01-01,17.4627
1964-01-01,17.31701
1965-01-01,15.92749
1966-01-01,16.53918
1967-01-01,18.31064
1968-01-01,18.93731
1969-01-01,18.04612
1970-01-01,18.22868
1971-01-01,18.04284
1972-01-01,18.03449
1973-01-01,17.23805
1974-01-01,17.43150
1975-01-01,19.72409
1976-01-01,19.84571
1977-01-01,19.65669
1978-01-01,19.50783
1979-01-01,19.18402
1980-01-01,20.68175
1981-01-01,21.1485
1982-01-01,22.30233
1983-01-01,22.24424
1984-01-01,21.09675
1985-01-01,21.81029
1986-01-01,21.62580
1987-01-01,20.67915
1988-01-01,20.32710
1989-01-01,20.27345
1990-01-01,21.01229
1991-01-01,21.50371
1992-01-01,21.18803
1993-01-01,20.54930
1994-01-01,20.05907
1995-01-01,19.84021
1996-01-01,19.32937
1997-01-01,18.66635
1998-01-01,18.23338
1999-01-01,17.67014
2000-01-01,17.45155
2001-01-01,17.60403
2002-01-01,18.39943
2003-01-01,18.85313
2004-01-01,18.76733
2005-01-01,18.95789
2006-01-01,19.21779
2007-01-01,18.85203
2008-01-01,20.19345
2009-01-01,24.29659
2010-01-01,22.9722
2011-01-01,23.09697
2012-01-01,21.69663
2013-01-01,20.46648
2014-01-01,19.91286
2015-01-01,20.17954
2016-01-01,20.48728
2017-01-01,20.30192
2018-01-01,19.89194
2019-01-01,20.64511
2020-01-01,30.69021
2021-01-01,28.80964
2022-01-01,24.12152
2023-01-01,22.13029
