DATE,MTSMFBP133FMS
2010-01-01,-51924
2010-02-01,176731
2010-03-01,352933
2010-04-01,143469
2010-05-01,60088
2010-06-01,140932
2010-07-01,69753
2010-08-01,222985
2010-09-01,97373
2010-10-01,47790
2010-11-01,205633
2010-12-01,114463
2011-01-01,93358
2011-02-01,80031
2011-03-01,86821
2011-04-01,4610
2011-05-01,68143
2011-06-01,19948
2011-07-01,15877
2011-08-01,268934
2011-09-01,104251
2011-10-01,132149
2011-11-01,134758
2011-12-01,59058
2012-01-01,124724
2012-02-01,150351
2012-03-01,123237
2012-04-01,70178
2012-05-01,89621
2012-06-01,38400
2012-07-01,80903
2012-08-01,150747
2012-09-01,-1878
2012-10-01,142335
2012-11-01,142218
2012-12-01,29338
2013-01-01,-20938
2013-02-01,261952
2013-03-01,95355
2013-04-01,27899
2013-05-01,-46263
2013-06-01,1107
2013-07-01,12220
2013-08-01,49404
2013-09-01,7392
2013-10-01,204141
2013-11-01,93153
2013-12-01,73643
2014-01-01,-48518
2014-02-01,183562
2014-03-01,126952
2014-04-01,-115417
2014-05-01,34692
2014-06-01,34376
2014-07-01,79006
2014-08-01,80884
2014-09-01,51099
2014-10-01,74090
2014-11-01,64849
2014-12-01,101553
2015-01-01,-36839
2015-02-01,88293
2015-03-01,15315.15317852
2015-04-01,-36024.23620869
2015-05-01,-1137.64088651
2015-06-01,20862.41442256
2015-07-01,58192.94685507
2015-08-01,-16186.86591008
2015-09-01,2892.2179032
2015-10-01,-55988.64783547
2015-11-01,524795.71834959
2015-12-01,83393.12473601
2016-01-01,-14754.59778205
2016-02-01,127057.72586526
2016-03-01,138698.08582312
2016-04-01,-83706.35884833
2016-05-01,45220.63983733
2016-06-01,46080.32776185
2016-07-01,66778.0072892
2016-08-01,105761.27739877
2016-09-01,68479.82486157
2016-10-01,112656.08946333
2016-11-01,156726.60458395
2016-12-01,-10115.138803
2017-01-01,-59633.66327524
2017-02-01,34804.52333303
2017-03-01,-43261.87205497
2017-04-01,-76244.42611781
2017-05-01,5133.72355454
2017-06-01,67452.17130733
2017-07-01,-5236.21657985
2017-08-01,23797.46268208
2017-09-01,292221.25667794
2017-10-01,77450.33192707
2017-11-01,166317.58659291
2017-12-01,-104312.95510397
2018-01-01,-13375.1085284
2018-02-01,345945.11760197
2018-03-01,276202.43426142
2018-04-01,-90029.27757851
2018-05-01,93765.8435046
2018-06-01,39349.009553
2018-07-01,103329.55202779
2018-08-01,214260.01030998
2018-09-01,-24436.1112487
2018-10-01,80897.14730079
2018-11-01,200136.93912375
2018-12-01,58595.10258502
2019-01-01,103.01564409
2019-02-01,149613.42710054
2019-03-01,-45931.77584892
2019-04-01,-12193.75613633
2019-05-01,9497.27061467
2019-06-01,-12337.23198884
2019-07-01,24421.84020796
2019-08-01,386186.49919852
2019-09-01,212618.90163855
2019-10-01,159836.40528755
2019-11-01,125462.04709271
2019-12-01,65767.43797073
2020-01-01,41897.68015537
2020-02-01,200119.0794389
2020-03-01,267963.97362369
2020-04-01,1386528.44710619
2020-05-01,759987.72823604
2020-06-01,716272.17270711
2020-07-01,106414.73288754
2020-08-01,188751.59741544
2020-09-01,197278.65650324
2020-10-01,78615.74568169
2020-11-01,251250.18969323
2020-12-01,284063.56651815
2021-01-01,11544.43453598
2021-02-01,110205.66795778
2021-03-01,226219.26138179
2021-04-01,65521.42810255
2021-05-01,-30179.09826575
2021-06-01,311415.61397617
2021-07-01,-40279.23581865
2021-08-01,-30374.92006165
2021-09-01,29945.13278243
2021-10-01,356602.23207592
2021-11-01,7511.87768446
2021-12-01,498338.94026493
2022-01-01,340983.19529582
2022-02-01,286640.21935408
2022-03-01,99652.38738527
2022-04-01,-40654.51319676
2022-05-01,50179.51971198
2022-06-01,3263.00807395
2022-07-01,36706.78770589
2022-08-01,308281.1358828
2022-09-01,22310.46443815
2022-10-01,43243.67086938
2022-11-01,194995.95928543
2022-12-01,-36185.02643815
2023-01-01,67209.3838963
2023-02-01,21385.79201622
2023-03-01,81031.25879053
2023-04-01,-87786.76153774
2023-05-01,19084.63161161
2023-06-01,823324.53621047
2023-07-01,244162.8050378
2023-08-01,328271.11044302
2023-09-01,283931.96070882
2023-10-01,226047.09520968
2023-11-01,261060.6260736
2023-12-01,100277.7083357
2024-01-01,137680.96415867
2024-02-01,302365.95669839
2024-03-01,134802.71661052
2024-04-01,-34010.86030088
2024-05-01,122096.71612699
2024-06-01,10110.04472855
2024-07-01,319363.50593099
2024-08-01,236307.19567983
